order_id,customer_id,store_id,product_id,product_name,category,quantity,unit_price,order_date,total_amount
1001,1,1,101,Laptop Charger,Electronics,3,29.99,2026-01-05,89.97
1002,2,2,102,Wireless Mouse,Electronics,5,19.99,2026-01-06,99.95
1003,3,3,103,Office Chair,Furniture,1,189.00,2026-01-07,189.00
1004,4,4,104,Notebook Set,Stationery,10,5.50,2026-01-08,55.00
1005,5,5,105,Coffee Maker,Appliances,2,75.00,2026-01-09,150.00
1006,6,6,106,Desk Lamp,Lighting,4,45.00,2026-01-10,180.00
1007,7,7,107,Printer Paper,Stationery,20,8.00,2026-01-11,160.00
1008,8,8,108,USB Hub,Electronics,6,15.50,2026-01-12,93.00
1009,9,9,109,Monitor Stand,Accessories,2,55.00,2026-01-13,110.00
1010,10,10,110,Bluetooth Speaker,Electronics,3,120.00,2026-01-14,360.00
1011,11,11,102,Wireless Mouse,Electronics,7,19.99,2026-01-15,139.93
1012,12,12,104,Notebook Set,Stationery,15,5.50,2026-01-16,82.50
1013,13,13,105,Coffee Maker,Appliances,1,75.00,2026-01-17,75.00
1014,14,14,107,Printer Paper,Stationery,12,8.00,2026-01-18,96.00
1015,1,1,103,Office Chair,Furniture,2,189.00,2026-01-19,378.00
1016,2,2,101,Laptop Charger,Electronics,4,29.99,2026-01-20,119.96
1017,3,3,108,USB Hub,Electronics,8,15.50,2026-01-21,124.00
1018,4,4,110,Bluetooth Speaker,Electronics,1,120.00,2026-01-22,120.00
1019,5,5,106,Desk Lamp,Lighting,2,45.00,2026-01-23,90.00
1020,6,6,109,Monitor Stand,Accessories,3,55.00,2026-01-24,165.00
1021,7,7,103,Office Chair,Furniture,1,189.00,2026-01-25,189.00
1022,8,8,105,Coffee Maker,Appliances,3,75.00,2026-01-26,225.00
1023,9,9,102,Wireless Mouse,Electronics,10,19.99,2026-01-27,199.90
1024,10,10,104,Notebook Set,Stationery,8,5.50,2026-01-28,44.00
1025,11,11,101,Laptop Charger,Electronics,6,29.99,2026-01-29,179.94
1026,12,12,103,Office Chair,Furniture,1,189.00,2026-01-30,189.00
1027,13,13,110,Bluetooth Speaker,Electronics,2,120.00,2026-02-01,240.00
1028,14,14,108,USB Hub,Electronics,5,15.50,2026-02-02,77.50
1029,1,1,107,Printer Paper,Stationery,30,8.00,2026-02-03,240.00
1030,2,2,106,Desk Lamp,Lighting,6,45.00,2026-02-04,270.00
1031,3,3,109,Monitor Stand,Accessories,1,55.00,2026-02-05,55.00
1032,4,4,105,Coffee Maker,Appliances,2,75.00,2026-02-06,150.00
1033,5,5,104,Notebook Set,Stationery,12,5.50,2026-02-07,66.00
1034,6,6,102,Wireless Mouse,Electronics,4,19.99,2026-02-08,79.96
1035,7,7,101,Laptop Charger,Electronics,3,29.99,2026-02-09,89.97
1036,8,8,103,Office Chair,Furniture,2,189.00,2026-02-10,378.00
1037,9,9,110,Bluetooth Speaker,Electronics,1,120.00,2026-02-11,120.00
1038,10,10,108,USB Hub,Electronics,7,15.50,2026-02-12,108.50
1039,11,11,107,Printer Paper,Stationery,15,8.00,2026-02-13,120.00
1040,12,12,106,Desk Lamp,Lighting,3,45.00,2026-02-14,135.00
1041,13,13,105,Coffee Maker,Appliances,4,75.00,2026-02-15,300.00
1042,14,14,104,Notebook Set,Stationery,10,5.50,2026-02-16,55.00
1043,1,1,109,Monitor Stand,Accessories,2,55.00,2026-02-17,110.00
1044,2,2,101,Laptop Charger,Electronics,5,29.99,2026-02-18,149.95
1045,3,3,102,Wireless Mouse,Electronics,8,19.99,2026-02-19,159.92
1046,4,4,103,Office Chair,Furniture,1,189.00,2026-02-20,189.00
1047,5,5,108,USB Hub,Electronics,3,15.50,2026-02-21,46.50
1048,6,6,110,Bluetooth Speaker,Electronics,2,120.00,2026-02-22,240.00
1049,7,7,106,Desk Lamp,Lighting,5,45.00,2026-02-23,225.00
1050,8,8,104,Notebook Set,Stationery,20,5.50,2026-02-24,110.00
1051,9,9,107,Printer Paper,Stationery,10,8.00,2026-02-25,80.00
1052,10,10,109,Monitor Stand,Accessories,4,55.00,2026-02-26,220.00
1053,11,11,105,Coffee Maker,Appliances,2,75.00,2026-02-27,150.00
1054,12,12,101,Laptop Charger,Electronics,7,29.99,2026-02-28,209.93
1055,13,13,103,Office Chair,Furniture,3,189.00,2026-03-01,567.00
1056,14,14,102,Wireless Mouse,Electronics,6,19.99,2026-03-02,119.94
1057,1,1,108,USB Hub,Electronics,9,15.50,2026-03-03,139.50
1058,2,2,110,Bluetooth Speaker,Electronics,4,120.00,2026-03-04,480.00
1059,3,3,106,Desk Lamp,Lighting,2,45.00,2026-03-05,90.00
1060,4,4,109,Monitor Stand,Accessories,3,55.00,2026-03-06,165.00
1061,5,5,104,Notebook Set,Stationery,14,5.50,2026-03-07,77.00
1062,6,6,107,Printer Paper,Stationery,25,8.00,2026-03-08,200.00
1063,7,7,105,Coffee Maker,Appliances,1,75.00,2026-03-09,75.00
1064,8,8,103,Office Chair,Furniture,2,189.00,2026-03-10,378.00
1065,9,9,101,Laptop Charger,Electronics,3,29.99,2026-03-11,89.97
1066,10,10,102,Wireless Mouse,Electronics,5,19.99,2026-03-12,99.95
1067,11,11,110,Bluetooth Speaker,Electronics,3,120.00,2026-03-13,360.00
1068,12,12,108,USB Hub,Electronics,4,15.50,2026-03-14,62.00
1069,13,13,106,Desk Lamp,Lighting,7,45.00,2026-03-15,315.00
1070,14,14,109,Monitor Stand,Accessories,1,55.00,2026-03-16,55.00
1071,1,1,104,Notebook Set,Stationery,18,5.50,2026-03-17,99.00
1072,2,2,107,Printer Paper,Stationery,8,8.00,2026-03-18,64.00
1073,3,3,105,Coffee Maker,Appliances,5,75.00,2026-03-19,375.00
1074,4,4,101,Laptop Charger,Electronics,2,29.99,2026-03-20,59.98
1075,5,5,103,Office Chair,Furniture,1,189.00,2026-03-21,189.00
1076,6,6,102,Wireless Mouse,Electronics,9,19.99,2026-03-22,179.91
1077,7,7,109,Monitor Stand,Accessories,5,55.00,2026-03-23,275.00
1078,8,8,110,Bluetooth Speaker,Electronics,2,120.00,2026-03-24,240.00
1079,9,9,108,USB Hub,Electronics,6,15.50,2026-03-25,93.00
1080,10,10,106,Desk Lamp,Lighting,3,45.00,2026-03-26,135.00
1081,11,11,104,Notebook Set,Stationery,10,5.50,2026-03-27,55.00
1082,12,12,103,Office Chair,Furniture,2,189.00,2026-03-28,378.00